line_no,item_id,description,unit,quantity,is_lump_sum,section_name,b1,b2,b3,b4,b5,b6,b7,winner_unit_price,quantity_effective,risk_basis,market_benchmark_unit_price,deviation_vs_market,market_overpricing_exposure,market_underpricing_exposure,key,historical_benchmark_unit_price,hunit,historical_match_status,historical_match_confidence,deviation_vs_historical,historical_overpricing_exposure,historical_underpricing_exposure,ml_match_score,ml_benchmark_unit_price,ml_match_status,case_id,winning_total_bid,contract_id,district,letting_date,winner,market_risk_flag,historical_risk_flag,market_robust_z,historical_robust_z,evidence_class,combined_risk_flag,risk_confidence,recommended_action,ml_role,bidder_count,bidder_count_confidence,case_role,risk_direction
0005,0101 1,MOBILIZATION,LS,1.0,True,Roadway,522170.0,494230.02,321500.0,750000.0,565000.0,793000.0,733000.0,522170.0,1.0,lump_sum,649000.0,-19.54237288135593,0.0,-126830.0,01011,859291.46,LS,matched,high,-39.232492779574464,0.0,-337121.45999999996,0.0,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,High,-0.8051256866482619,-1.2268518358126252,historical_only,High,Low,Review lump-sum pricing separately,supporting_only,7,high,main_validation,underpricing
0010,0102 1,MAINTENANCE OF TRAFFIC,,190.0,True,Roadway,216730.0,147000.0,227750.0,650000.0,396000.0,194983.0,559000.0,216730.0,1.0,lump_sum,311875.0,-30.507414829659318,0.0,-95145.0,01021,,DA,unit_mismatch,none,,0.0,0.0,0.3237880723314826,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Not available,-1.04789899611711,,low_evidence,Moderate,Low,Review lump-sum pricing separately,supporting_only,7,high,main_validation,n/a
0015,0102 14,TRAFFIC CONTROL OFFICER,HR,192.0,False,Roadway,68.0,81.97,111.0,75.0,100.0,111.8,112.5,68.0,192.0,unit_rate,105.5,-35.54502369668246,0.0,-7200.0,010214,77.03,HR,matched,high,-11.722705439439181,0.0,-1733.7600000000002,0.31538393103977663,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",High,Watch,-1.1594350013802779,-0.7202485273708173,market_only,High,Medium,Review potential unbalanced underpricing,supporting_only,7,high,main_validation,underpricing
0020,0102 60,WORK ZONE SIGN,ED,12540.0,False,Roadway,0.28,0.01,0.2,0.26,0.3,0.25,0.21,0.28,12540.0,unit_rate,0.22999999999999998,21.73913043478263,627.0000000000006,0.0,010260,0.27,ED,matched,high,3.703703703703707,125.4000000000001,0.0,0.39989687971459636,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Normal,0.10887420748428076,-0.4361652731941707,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0025,0102 74 1,"CHANNELIZING DEVICE- TYPES I, II, DI, VP, DRUM, OR LCD",ED,16910.0,False,Roadway,0.14,0.01,0.09,0.15,0.1,0.1,0.09,0.14,16910.0,unit_rate,0.095,47.36842105263159,760.9500000000002,0.0,0102741,0.12,ED,matched,high,16.666666666666682,338.2000000000003,0.0,0.21936172863697057,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",High,Watch,0.6763237194851748,-0.19744732735732107,market_only,High,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0030,0102 76,ARROW BOARD ADVANCE WARNING ARROW PANEL,ED,190.0,False,Roadway,6.25,5.46,5.5,5.75,7.0,5.9,5.0,6.25,190.0,unit_rate,5.625,11.11111111111111,118.75,0.0,010276,5.93,ED,matched,high,5.396290050590224,60.800000000000054,0.0,0.3149049043019651,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Normal,-0.12643719729386838,-0.4049956449976946,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0035,0102 99,"PORTABLE CHANGEABLE MESSAGE SIGN, TEMPORARY",ED,260.0,False,Roadway,13.75,10.93,11.0,12.75,10.0,11.75,10.0,13.75,260.0,unit_rate,10.965,25.398996808025537,724.1,0.0,010299,11.73,ED,matched,high,17.220801364023867,525.1999999999999,0.0,0.27177513683204696,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Watch,0.1899060791209789,-0.18724272389991867,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0040,0102104,"TEMPORARY SIGNALIZATION AND MAINTENANCE, INTERSECTION",ED,570.0,False,Roadway,26.93,15.14,15.0,20.0,25.0,17.65,13.85,26.93,570.0,unit_rate,16.395,64.257395547423,6004.95,0.0,0102104,26.48,ED,matched,high,1.6993957703927465,256.4999999999996,0.0,0.3098590087021855,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Critical,Normal,1.0502568289950656,-0.47307537422828877,market_only,Critical,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0045,0102107 1,"TEMPORARY TRAFFIC DETECTION AND MAINTENANCE, INTERSECTION",ED,570.0,False,Roadway,26.93,1.09,15.0,29.0,25.0,17.65,1.0,26.93,570.0,unit_rate,16.325,64.96171516079633,6044.85,0.0,01021071,16.69,ED,matched,high,61.35410425404433,5836.799999999999,0.0,0.2806812860044549,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Critical,Critical,1.0658509328998773,0.6254890133581719,confirmed_by_both,Critical,High,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0050,0102115,TYPE III BARRICADE,ED,760.0,False,Roadway,0.4,0.35,0.4,0.4,1.0,0.4,0.32,0.4,760.0,unit_rate,0.4,0.0,0.0,0.0,0102115,0.35,ED,matched,high,14.285714285714299,38.000000000000036,0.0,0.4073103151894299,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Normal,Watch,-0.3724445750164783,-0.24129348067429346,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0055,0104 1,ARTIFICIAL COVERINGS /ROLLED EROSION CONTROL PRODUCTS,SY,115.0,False,Roadway,15.0,10.11,83.0,15.5,1.0,12.65,15.0,15.0,115.0,unit_rate,13.825,8.499095840867998,135.12500000000009,0.0,01041,8.07,SY,matched,high,85.87360594795538,796.9499999999999,0.0,0.2622044689140111,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Normal,Critical,-0.18426894974222138,1.0770250621795063,historical_only,Critical,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0060,0104 10 3,SEDIMENT BARRIER,LF,3621.0,False,Roadway,2.63,1.75,5.3,3.25,3.0,3.3,1.9,2.63,3621.0,unit_rate,3.125,-15.840000000000003,0.0,-1792.3950000000004,0104103,2.41,LF,matched,high,9.12863070539418,796.6199999999991,0.0,0.2694332629069397,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Normal,-0.7231526926978311,-0.33626315715337923,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0065,0104 18,INLET PROTECTION SYSTEM,EA,118.0,False,Roadway,147.5,81.97,461.0,150.0,250.0,147.1,75.0,147.5,118.0,unit_rate,148.55,-0.70683271625716,0.0,-123.90000000000134,010418,185.37,EA,matched,high,-20.42941144737552,0.0,-4468.660000000001,0.3546533963775747,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Normal,Moderate,-0.3880943206878259,-0.8805858653049251,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0070,0107 1,LITTER REMOVAL,AC,231.99,False,Roadway,54.38,76.51,50.0,75.0,10.0,82.4,70.0,54.38,231.99,unit_rate,72.5,-24.993103448275857,0.0,-4203.658799999999,01071,47.09,AC,matched,high,15.480993841579952,1691.2070999999999,0.0,0.37991544288803564,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Watch,-0.9258084806579021,-0.21928194819577967,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0075,0107 2,MOWING,AC,193.54,False,Roadway,85.94,98.37,80.0,95.0,25.0,105.9,90.0,85.94,193.54,unit_rate,92.5,-7.091891891891894,0.0,-1269.6224000000004,01072,63.04,AC,matched,high,36.326142131979694,4432.066,0.0,0.3282667811224158,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Normal,High,-0.5294637704839691,0.1645894703036945,historical_only,High,Medium,Commercial review (mixed market/historical signal),supporting_only,7,high,main_validation,mixed
0080,0110 1 1,CLEARING GRUBBING,,0.66,True,Roadway,85864.0,484463.96,50853.0,360000.0,100000.0,63000.0,35000.0,85864.0,1.0,lump_sum,81500.0,5.354601226993865,4364.0,0.0,011011,,AC,unit_mismatch,none,,0.0,0.0,0.19338877085938525,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Normal,Not available,-0.2538901484222056,,low_evidence,Normal,Low,Review lump-sum pricing separately,supporting_only,7,high,main_validation,n/a
0085,0110 4 10,REMOVAL OF EXISTING CONCRETE,SY,201.0,False,Roadway,69.23,46.5,40.5,52.0,65.0,42.55,50.0,69.23,201.0,unit_rate,48.25,43.481865284974106,4216.9800000000005,0.0,0110410,47.79,SY,matched,high,44.86294203808329,4309.440000000001,0.0,0.3862236032173664,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",High,High,0.5902727941355056,0.3217979220618145,confirmed_by_both,High,High,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0090,0110 7 1,"MAILBOX, F&I SINGLE",EA,4.0,False,Roadway,417.0,254.31,461.0,350.0,350.0,264.7,350.0,417.0,4.0,unit_rate,350.0,19.142857142857142,268.0,0.0,011071,320.94,EA,matched,high,29.930828192185455,384.24,0.0,0.3147673108884217,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Moderate,0.05139099288847537,0.04681730578765129,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0095,0120 1,REGULAR EXCAVATION,CY,289.3,False,Roadway,30.0,68.52,40.0,85.0,20.0,33.8,20.0,30.0,289.3,unit_rate,36.9,-18.699186991869915,0.0,-1996.1699999999996,01201,14.91,CY,matched,high,101.2072434607646,4365.537,0.0,0.3698162943107215,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Critical,-0.7864569911837974,1.3593998911227811,historical_only,Critical,Medium,Commercial review (mixed market/historical signal),supporting_only,7,high,main_validation,mixed
0100,0120 6,EMBANKMENT,CY,133.6,False,Roadway,44.0,63.09,75.0,115.0,10.0,18.3,45.0,44.0,133.6,unit_rate,54.045,-18.586363215838656,0.0,-1342.0120000000002,01206,23.94,CY,matched,high,83.79281537176273,2680.0159999999996,0.0,0.618338385236207,,candidate_review,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Critical,-0.7839589978680382,1.0387065038773196,historical_only,Critical,Medium,Commercial review (mixed market/historical signal),supporting_only,7,high,main_validation,mixed
0105,0160 4,TYPE B STABILIZATION,SY,1757.0,False,Roadway,18.0,42.85,26.5,35.0,12.5,17.5,60.0,18.0,1757.0,unit_rate,30.75,-41.46341463414634,0.0,-22401.75,01604,8.2,SY,matched,high,119.51219512195124,17218.600000000002,0.0,0.3322403684784466,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",High,Critical,-1.290472106517925,1.696492612261167,confirmed_by_both,Critical,High,Commercial review (mixed market/historical signal),supporting_only,7,high,main_validation,mixed
0110,0285704,"OPTIONAL BASE, BASE GROUP",SY,516.0,False,Roadway,53.0,62.43,37.25,55.0,100.0,87.3,37.0,53.0,516.0,unit_rate,58.715,-9.733458230435158,0.0,-2948.940000000002,0285704,32.45,SY,matched,high,63.32819722650229,10603.8,0.0,0.2983917766237352,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Normal,Critical,-0.58794980320625,0.6618426942737587,historical_only,Critical,Medium,Commercial review (mixed market/historical signal),supporting_only,7,high,main_validation,mixed
0115,0285709,"OPTIONAL BASE, BASE GROUP",SY,735.0,False,Roadway,65.0,76.54,56.0,47.0,150.0,67.8,48.0,65.0,735.0,unit_rate,61.9,5.008077544426497,2278.500000000001,0.0,0285709,39.1,SY,matched,high,66.24040920716112,19036.5,0.0,0.2983917766237352,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Normal,Critical,-0.2615624128442518,0.7154721973318647,historical_only,Critical,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0120,0327 70 6,"MILLING EXISTING ASPHALT PAVEMENT, AVG DEPTH",SY,60183.0,False,Roadway,3.25,3.72,4.9,3.75,3.0,4.2,5.41,3.25,60183.0,unit_rate,3.975,-18.238993710691826,0.0,-43632.675,0327706,3.52,SY,matched,high,-7.670454545454546,0.0,-16249.410000000002,0.26615289918447166,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Normal,-0.7762680063724607,-0.645624769500692,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0125,0327 70 8,"MILLING EXISTING ASPHALT PAVEMENT, AVG DEPTH",SY,22226.0,False,Roadway,3.75,2.65,4.27,3.75,3.0,4.25,2.35,3.75,22226.0,unit_rate,3.375,11.11111111111111,8334.75,0.0,0327708,3.67,SY,matched,high,2.1798365122615824,1778.0800000000015,0.0,0.26615289918447166,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Normal,-0.12643719729386838,-0.46422787328865434,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0130,0327 70 17,"MILLING EXISTING ASPHALT PAVEMENT, AVG DEPTH",SY,64673.0,False,Roadway,4.65,3.6,5.4,3.6,2.5,5.6,2.88,4.65,64673.0,unit_rate,3.6,29.166666666666675,67906.65000000002,0.0,03277017,3.23,SY,matched,high,43.96284829721363,91835.66000000002,0.0,0.26615289918447166,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,High,0.273324791505373,0.3052223498338509,historical_only,High,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0135,0334 1 13,"SUPERPAVE ASPHALTIC CONC, TRAFFIC C",TN,7504.0,False,Roadway,132.17,148.83,186.0,134.0,190.0,153.5,160.44,132.17,7504.0,unit_rate,156.97,-15.79919729884692,0.0,-186099.2000000001,0334113,155.42,TN,matched,high,-14.95946467636083,0.0,-174468.0,0.11789130312834248,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Watch,-0.7222492938015108,-0.7798546929067383,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0140,0337 7 83,"ASPHALT CONCRETE FRICTION COURSE,TRAFFIC C, FC-12.5, PG",TN,12232.8,False,Roadway,165.22,191.93,200.0,186.0,205.0,201.0,225.11,165.22,12232.8,unit_rate,200.5,-17.596009975062344,0.0,-431573.184,0337783,178.26,TN,matched,high,-7.3151576349152885,0.0,-159515.71199999988,0.3144173933392391,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Normal,-0.762031919527616,-0.6390818403194207,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0145,0339 1,MISCELLANEOUS ASPHALT PAVEMENT,TN,10.6,False,Roadway,925.0,701.4,460.0,560.0,300.0,911.0,350.0,925.0,10.6,unit_rate,510.0,81.37254901960785,4399.0,0.0,03391,279.72,TN,matched,high,230.68783068783065,6839.968,0.0,0.34257764597692403,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Critical,Critical,1.429197691246165,3.7438346763571917,confirmed_by_both,Critical,High,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0150,0425 1501,"INLETS, DT BOT, TYPE A,",EA,1.0,False,Roadway,7479.0,14328.19,10530.0,7820.0,7500.0,11200.0,10000.0,7479.0,1.0,unit_rate,10265.0,-27.140769605455432,0.0,-2786.0,04251501,6965.91,EA,matched,high,7.365728239382941,513.0900000000001,0.0,0.19338610619799257,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Normal,-0.9733592354175228,-0.3687276837125701,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0155,0425 1521,"INLETS, DT BOT, TYPE C,<10'",EA,1.0,False,Roadway,7684.0,14365.61,10197.0,7820.0,7500.0,10800.0,10000.0,7684.0,1.0,unit_rate,10098.5,-23.909491508639896,0.0,-2414.5,04251521,7248.05,EA,matched,high,6.014721200874716,435.9499999999998,0.0,0.22613407545753955,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Normal,-0.9018165928014141,-0.3936069976445211,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0160,0430175115,"PIPE CULVERT,OPTIONAL MATERIAL,ROUND, 15""S/CD",LF,29.0,False,Roadway,220.0,263.37,687.0,275.0,200.0,729.5,200.0,220.0,29.0,unit_rate,269.185,-18.271820495198472,0.0,-1426.365,0430175115,156.74,LF,matched,high,40.35983156820211,1834.5399999999997,0.0,0.22233543126497501,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,High,-0.7769948131782597,0.23887141179423163,historical_only,High,Medium,Commercial review (mixed market/historical signal),supporting_only,7,high,main_validation,mixed
0165,0430984638,"MITERED END SECT, OPTIONAL /ELLIP/ARCH, SD",EA,1.0,False,Roadway,12160.0,9670.88,20505.0,7820.0,3500.0,21800.0,11000.0,12160.0,1.0,unit_rate,10335.439999999999,17.653433235546835,1824.5600000000013,0.0,0430984638,10285.2,EA,matched,high,18.22813362890366,1874.7999999999993,0.0,0.2283166339983236,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Watch,0.018414158610545867,-0.16869231303055665,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0170,0520 1 7,"CONCRETE CURB GUTTER, TYPE E",LF,20.0,False,Roadway,247.19,89.99,86.0,95.0,150.0,233.6,150.0,247.19,20.0,unit_rate,122.5,101.7877551020408,2493.8,0.0,052017,43.73,LF,matched,high,465.26412074091013,4069.2000000000003,0.0,0.3262044271791423,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Critical,Critical,1.881203909506706,8.063647227198627,confirmed_by_both,Critical,High,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0175,0520 1 10,"CONCRETE CURB GUTTER, TYPE F",LF,130.0,False,Roadway,103.41,42.84,86.0,60.0,150.0,78.5,62.0,103.41,130.0,unit_rate,70.25,47.20284697508896,4310.799999999999,0.0,0520110,45.83,LF,matched,high,125.6382282347807,7485.4,0.0,0.3262044271791423,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",High,Critical,0.6726577994680156,1.8093058668389543,confirmed_by_both,Critical,High,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0180,0522 2,"CONCRETE SIDEWALK AND DRIVEWAYS, THICK",SY,78.0,False,Roadway,213.94,118.09,194.0,335.0,125.0,226.4,129.0,213.94,78.0,unit_rate,161.5,32.470588235294116,4090.3199999999997,0.0,05222,98.39,SY,matched,high,117.44079682894603,9012.9,0.0,0.24910918627925066,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Critical,0.3464758088223017,1.6583470164642062,historical_only,Critical,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0185,0524 1 4,"CONCRETE DITCH PAVEMENT, NON REINFORCED,",SY,12.0,False,Roadway,629.81,881.87,194.0,300.0,100.0,643.5,153.0,629.81,12.0,unit_rate,247.0,154.98380566801617,4593.719999999999,0.0,052414,165.33,SY,matched,high,280.9411480070162,5573.759999999998,0.0,0.24404537393323059,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Critical,Critical,3.058999790950853,4.669268831819849,confirmed_by_both,Critical,High,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0190,0527 2,DETECTABLE WARNINGS,SF,212.0,False,Roadway,49.8,39.9,27.75,45.0,35.0,46.85,45.0,49.8,212.0,unit_rate,42.45,17.31448763250882,1558.199999999999,0.0,05272,40.94,SF,matched,high,21.64142647777235,1878.32,0.0,0.0,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Moderate,0.01090967790108666,-0.10583521317232349,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0195,0536 1 1,"GUARDRAIL -ROADWAY, GENERAL TL-3",LF,275.0,False,Roadway,32.5,29.73,31.75,23.0,35.0,26.75,22.73,32.5,275.0,unit_rate,28.240000000000002,15.084985835694042,1171.4999999999995,0.0,053611,22.48,LF,matched,high,44.5729537366548,2755.5,0.0,0.31028321818949234,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,High,-0.03845297225851587,0.31645767602149855,historical_only,High,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0200,0536 7 2,SPECIAL GUARDRAIL POST- SPECIAL STEEL POST FOR CONCRETE STRUCTURE MOUNT,EA,7.0,False,Roadway,281.25,245.91,383.0,372.0,350.0,437.0,371.24,281.25,7.0,unit_rate,371.62,-24.317851568806848,0.0,-632.59,053672,354.51,EA,matched,high,-20.665143437420664,0.0,-512.8199999999999,0.1987527426550315,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Moderate,-0.9108579556825628,-0.8849269605153637,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0205,0536 73,GUARDRAIL REMOVAL,LF,179.0,False,Roadway,4.38,5.51,4.8,2.75,10.0,3.2,2.73,4.38,179.0,unit_rate,4.0,9.499999999999996,68.01999999999998,0.0,053673,,EA,unit_mismatch,none,,0.0,0.0,0.3982789912966068,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Normal,Not available,-0.1621082670636469,,low_evidence,Normal,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0210,0536 85 20,GUARDRAIL END TREATMENT- TRAILING ANCHORAGE,EA,1.0,False,Roadway,2343.75,2049.29,1894.0,1710.0,2000.0,2010.0,1707.6,2343.75,1.0,unit_rate,1947.0,20.37750385208012,396.75,0.0,05368520,1519.88,EA,matched,high,54.20625312524672,823.8699999999999,0.0,0.1191049046080545,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,High,0.0787268908299569,0.4938585872365073,historical_only,High,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0215,0536 85 24,GUARDRAIL END TREATMENT- PARALLEL APPROACH TERMINAL,EA,1.0,False,Roadway,4812.5,4207.87,3974.0,4005.0,3600.0,4710.0,4004.86,4812.5,1.0,unit_rate,4004.9300000000003,20.16439738022886,807.5699999999997,0.0,05368524,3664.17,EA,matched,high,31.339430212026187,1148.33,0.0,0.2436922599651373,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Moderate,0.07400857204153075,0.07275725343995541,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0220,0570 1 2,"PERFORMANCE TURF, SOD",SY,11492.0,False,Roadway,4.5,4.64,8.0,8.2,4.0,6.05,5.01,4.5,11492.0,unit_rate,5.529999999999999,-18.625678119348997,0.0,-11836.759999999993,057012,4.32,SY,matched,high,4.16666666666666,2068.5599999999968,0.0,0.17564993709369298,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Watch,Normal,-0.7848294559366579,-0.42763963227142626,low_evidence,Watch,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0225,0630 2 12,"CONDUIT, FURNISH INSTALL, DIRECTIONAL BORE",LF,353.0,False,Roadway,32.34,56.07,58.0,31.35,50.0,68.2,51.3,32.34,353.0,unit_rate,53.685,-39.759709416038,0.0,-7534.785,0630212,41.76,LF,matched,high,-22.557471264367805,0.0,-3325.259999999998,0.12100416165267397,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",High,Moderate,-1.2527509417372007,-0.9197749048464087,market_only,High,Medium,Review potential unbalanced underpricing,supporting_only,7,high,main_validation,underpricing
0230,0635 2 11,"PULL SPLICE BOX, F&I, x COVER SIZE",EA,8.0,False,Roadway,1876.73,1865.19,1803.0,1190.0,1250.0,2120.0,1301.0,1876.73,8.0,unit_rate,1552.0,20.923324742268044,2597.84,0.0,0635211,1631.45,EA,matched,high,15.034478531367801,1962.2399999999998,0.0,0.19720186093585335,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,Watch,0.09081172776107853,-0.2275046992707534,low_evidence,Moderate,Low,Manual review required,supporting_only,7,high,main_validation,n/a
0235,0695 1 1,"TRAFFIC MONITORING SITE VEHICLE SENSOR-NON-WEIGHT, FURNISH INSTALL",EA,12.0,False,Roadway,3748.48,3042.78,3574.0,2535.0,2500.0,4200.0,2784.0,3748.48,12.0,unit_rate,2913.3900000000003,28.663858940958804,10021.079999999996,0.0,069511,2715.66,EA,matched,high,38.032006952269434,12393.840000000002,0.0,0.14682721109754396,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Moderate,High,0.26219229459636734,0.19600362669204494,historical_only,High,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0240,0695 6 12,"TRAFFIC MONITORING SITE INDUCTIVE LOOP ASSEMBLY, FURNISH INSTALL, LOOPS",EA,12.0,False,Roadway,3404.68,1949.83,1965.0,2365.0,1300.0,2310.0,1784.0,3404.68,12.0,unit_rate,1957.415,73.93756561587604,17367.18,0.0,0695612,2630.45,EA,matched,high,29.433366914406285,9290.76,0.0,0.23752576411793835,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",Critical,Moderate,1.2645822218954783,0.03765636513665106,market_only,Critical,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
0245,0695 7132,"TRAFFIC MONITORING SITE CABINET, FURNISH INSTALL, TYPE PEDESTAL MOUNT",EA,3.0,False,Roadway,10842.46,7606.96,8239.0,6440.0,6500.0,9690.0,6960.0,10842.46,3.0,unit_rate,7283.48,48.86372997523162,10676.939999999999,0.0,06957132,9143.08,EA,matched,high,18.586515703679716,5098.139999999998,0.0,0.18945252461741952,,no_match,T5850,7139022.43,T5850,District 5,2025-04-30,"V.A. PAVING, INC.",High,Watch,0.7094308519092397,-0.1620925693639487,market_only,High,Medium,Request rate breakdown / commercial review (overpricing),supporting_only,7,high,main_validation,overpricing
